year,month,ym_str,town,project,plh,loccate,waitime,nrooms,nunits,naplcnts,avgrate,rate_senior,rate_1st,rate_single,rate_2nd,sellprice_low,sellprice_high,est_resaleprice_low,est_resaleprice_high
2021,11,2021-11,Jurong West,Nanyang Opal,No,Non-mature,42,3,91,87,1.0 ,,0.7 ,,1.5 ,173000,229000 ,290000,333000
2021,11,2021-11,Jurong West,Nanyang Opal,No,Non-mature,42,4,130,229,1.8 ,,1.4 ,,3.7 ,264000,321000 ,423000,472000
2021,11,2021-11,Tengah,Parc Glen @ Tengah / Parc Clover @ Tengah,No,Non-mature,49,2,409,829,2.0 ,1.0 ,0.3 ,5.7 ,0.3 ,119000,190000 ,,
2021,11,2021-11,Tengah,Parc Glen @ Tengah / Parc Clover @ Tengah,No,Non-mature,49,3,198,366,1.8 ,,1.2 ,,3.4 ,194000,257000 ,,
2021,11,2021-11,Tengah,Parc Glen @ Tengah / Parc Clover @ Tengah,No,Non-mature,49,4,872,1863,2.1 ,,1.7 ,,10.6 ,312000,390000 ,430000,518000
2021,11,2021-11,Tengah,Parc Glen @ Tengah / Parc Clover @ Tengah,No,Non-mature,49,5,653,2120,3.2 ,,2.4 ,,20.5 ,428000,619000 ,568000,620000
2021,11,2021-11,Kallang / Whampoa,Kent Heights,No,Mature,54,2,154,243,1.6 ,2.1 ,0.2 ,10.0 ,,192000,309000 ,,
2021,11,2021-11,Kallang / Whampoa,Kent Heights,No,Mature,54,4,276,1813,6.6 ,,5.2 ,,33.7 ,511000,660000 ,630000,754000
2021,11,2021-11,Central Area,River Peaks I & II,Yes,Mature,71,3,280,867,3.1 ,,1.1 ,,40.4 ,409000,474000 ,490000,555000
2021,11,2021-11,Central Area,River Peaks I & II,Yes,Mature,71,4,680,6976,10.3 ,,5.3 ,,104.7 ,582000,688000 ,630000,770000
2022,2,2022-02,Tengah,Parc Flora @ Tengah / Plantation Greek,No,Non-mature,40,2,101,844,8.4 ,3.1 ,12.0 ,,,132000,182000 ,,
2022,2,2022-02,Tengah,Parc Flora @ Tengah / Plantation Greek,No,Non-mature,40,3,85,362,4.3 ,,2.5 ,,8.5 ,231000,273000 ,,
2022,2,2022-02,Tengah,Parc Flora @ Tengah / Plantation Greek,No,Non-mature,40,4,570,1813,3.2 ,,2.7 ,,5.8 ,309000,403000 ,438000,525000
2022,2,2022-02,Tengah,Parc Flora @ Tengah / Plantation Greek,No,Non-mature,40,5,517,2406,4.7 ,,3.7 ,,10.1 ,420000,525000 ,570000,610000
2022,2,2022-02,Yishun,Yishun Boardwalk / Grove Spring @ Yishun,No,Non-mature,26,2,378,2094,5.5 ,3.7 ,0.7 ,14.1 ,1.3 ,95000,149000 ,,
2022,2,2022-02,Yishun,Yishun Boardwalk / Grove Spring @ Yishun,No,Non-mature,26,3,162,808,5.0 ,,3.5 ,,8.5 ,180000,248000 ,365000,395000
2022,2,2022-02,Yishun,Yishun Boardwalk / Grove Spring @ Yishun,No,Non-mature,26,4,686,2187,3.2 ,,2.5 ,,16.2 ,270000,374000 ,445000,493888
2022,2,2022-02,Yishun,Yishun Boardwalk / Grove Spring @ Yishun,No,Non-mature,26,5,613,2018,3.3 ,,2.3 ,,22.3 ,385000,490000 ,548000,645000
2022,2,2022-02,Kallang / Whampoa,King George's Heights,Yes,Mature,59,3,104,661,6.4 ,,2.8 ,,76.0 ,353000,462000 ,515000,555000
2022,2,2022-02,Kallang / Whampoa,King George's Heights,Yes,Mature,59,4,294,5140,17.5 ,,10.9 ,,149.3 ,488000,675000 ,630000,770000
2022,2,2022-02,Geylang,Dakota Crest,No,Mature,63,2,121,743,6.1 ,6.9 ,0.7 ,,38.0 ,205000,315000 ,,
2022,2,2022-02,Geylang,Dakota Crest,No,Mature,63,3,80,833,10.4 ,,4.8 ,,117.0 ,352000,456000 ,,
2022,2,2022-02,Geylang,Dakota Crest,No,Mature,63,4,242,6961,28.8 ,,20.5 ,,187.4 ,522000,688000 ,622000,815000
2022,5,2022-05,Jurong West,Lakeside View,No,Non-mature,46,2,455,1301,2.9 ,2.0 ,0.4 ,6.6 ,0.2 ,107000,180000 ,,
2022,5,2022-05,Jurong West,Lakeside View,No,Non-mature,46,3,101,446,4.4 ,,2.4 ,,9.3 ,215000,265000 ,350000,413888
2022,5,2022-05,Jurong West,Lakeside View,No,Non-mature,46,4,246,1827,7.4 ,,5.3 ,,19.6 ,320000,393000 ,435000,535000
2022,5,2022-05,Jurong West,Lakeside View,No,Non-mature,46,5,214,3294,15.4 ,,9.1 ,,51.2 ,412000,526000 ,570000,620000
2022,5,2022-05,Yishun,Yishun Beacon,No,Non-mature,39,2,273,1821,6.7 ,5.0 ,0.7 ,14.8 ,1.0 ,123000,184000 ,,
2022,5,2022-05,Yishun,Yishun Beacon,No,Non-mature,39,4,207,2525,12.2 ,,9.4 ,,28.4 ,328000,418000 ,490000,550000
2022,5,2022-05,Yishun,Yishun Beacon,No,Non-mature,39,5,166,2491,15.0 ,,9.4 ,,48.1 ,485000,595000 ,570000,710000
